Attribute Name,Attribute ID,Description,Attribute Type,Required,Numeric Values,From Range,To Range,Increment,Category ID
Dog kennel/run features,2975,"Highlights the unique features of a dog kennel/run, e.g. weather resistant, portable",text,No,0,,,,ap-2-3-6
Dog pen features,2975,"Describes the special features of dog pens, such as UV protection or weather resistant",text,No,0,,,,ap-2-3-6-1
Outdoor equipment features,2975,"Identifies unique traits of outdoor gear, such as weather resistant or portable",text,No,0,,,,tg-3-14
Dog kennel features,2975,"Describes specific characteristics of a dog kennel, such as lockable or foldable",text,No,0,,,,ap-2-3-6-5
Dog toy type,3226,"Classifies the type of dog toy, such as plush or squeaky",text,No,0,,,,ap-2-3-7
Suitable for breed size,3227,"Identifies the appropriate breed size for pet products, such as large or medium",text,No,0,,,,ap-2-3-8
Control technology,1359,"Specifies the method of operation, typically for window treatments; e.g. manual, motorized",text,No,0,,,,vp-1-8-1-8
Exercise machine features,2979,"Describes the special features of exercise equipment, like adjustable speed or built-in display",text,No,0,,,,sg-2-23-2
Pet treat texture,1704,"Defines the feel or consistency of pet treats, like soft or crunchy",text,No,0,,,,ap-2-3-9
Compatible aquarium,1705,"Specifies which aquarium types a product is suitable for, e.g. all aquariums, saltwater",text,No,0,,,,ap-2-4-3-8
Decoration material,2782,"Identifies the material used for decoration, such as sequins or feathers",text,No,0,,,,vp-1-5-4-19
Aquarium filter features,2980,"Describes special features of aquarium filters, e.g. quick cartridge change, multi-stage filtration",text,No,0,,,,ap-2-4-5-5
Filter type,1706,"Distinguishes between filters, typically for aquariums; e.g. mechanical, chemical",text,No,0,,,,ap-2-4-5
Power source,1221,"Specifies the power source a product uses to operate, such as solar or batteries",text,No,0,,,,vp-1-8-8
Suitable for water type,1707,"Specifies if a product is suitable for freshwater, saltwater, or both",text,No,0,,,,ap-2-4-14-4
Gravel/Substrate material,2897,"Specifies the composition of aquarium gravel or substrates, e.g. clay, quartz",text,No,0,,,,ap-2-4-7
Substrate features,2981,"Describes the characteristics of aquarium substrates, such as beneficial bacteria growth or pre-washed",text,No,0,,,,ap-2-4-7-7
Aquarium light spectrum,1708,"Specifies the type of light spectrum for aquarium lighting, e.g. blue, daylight",text,No,0,,,,ap-2-4-8
Light source,1333,"Identifies the kind of light bulb used in a product, such as LED or fluorescent",text,No,0,,,,vp-1-4-12-8
Lighting features,2982,"Describes special characteristics of lighting, like adjustable brightness or LED lighting",text,No,0,,,,vp-1-8-8
Aquarium overflow box design,3228,"Describes the setup style of an aquarium overflow box, such as external or hang-on",text,No,0,,,,ap-2-4-9
Fish type,1709,"Helps match to specific fish species, such as tropical or cold water",text,No,0,,,,ap-2-4-16-9
Suitable for fish type,1710,"Specifies the type of fish a product is intended for, e.g. pond fish, tropical fish",text,No,0,,,,ap-2-4-16-9
Fabric,2777,"Identifies the type of fabric used in a product, for example, cotton or denim",text,No,0,,,,vp-1-6-4-8
Pet apparel features,2984,"Highlights special characteristics of pet clothing, such as vegan friendly or waterproof",text,No,0,,,,ap-2-6-17
Footwear material,2783,"Specifies the type of material used in footwear, such as suede or rubber",text,No,0,,,,vp-1-6-7-6
Shape,73,"Describes the geometric form or shape of a product, such as round or heart",text,No,0,,,,tg-5-4
Pet bedding features,2984,"Describes unique properties of pet bedding, like orthopedic or waterproof",text,No,0,,,,ap-2-9-13
Basket material,2798,"Specifies the type of material used in a basket, such as wicker or metal",text,No,0,,,,sg-4-4-1-2
Upholstery material,2797,"Identifies the fabric used for upholstery, such as leather or velvet",text,No,0,,,,fr-15-3-16
Pet control accessory features,2986,"Describes special features of pet control accessories, like adjustable or glow-in-the-dark",text,No,0,,,,ap-2-35
Connectivity technology,1272,"Defines the method of data transfer in a product, e.g. Bluetooth, USB",text,No,0,,,,vp-1-3-5-5
Glucose meter features,2988,"Describes the special characteristics of glucose meters, like portable or memory function",text,No,0,,,,ap-2-11-1
Pet monitor items included,1711,"Specifies the components included with a pet glucose meter, such as carrying case or test strips",text,No,0,,,,ap-2-11-1
Pet thermometer design,3229,"Describes the type of pet thermometer, such as analog or digital",text,No,0,,,,ap-2-11-3
Door material,1520,"Specifies the construction material of a door, such as tempered glass or Medium density fiberboard (MDF)",text,No,0,,,,ha-2-3-2
First aid kit components,1712,"Details the contents of first aid kits, e.g. bandages, scissors",text,No,0,,,,ap-2-22-3
Food storage material,2815,"Identifies the material used in food storage items, such as glass or plastic",text,No,0,,,,hg-11-4-8
Pet hair dryer design,3230,"Describes the style of a pet hair dryer, such as cage or handheld",text,No,0,,,,ap-2-26-4
Pet hair dryer speed settings,3231,"Describes the adjustable speed settings on pet hair dryers, e.g. variable speed, fixed speed",text,No,0,,,,ap-2-26-4
Pet nail tool type,3232,"Identifies the kind of pet nail grooming tool, such as guillotine nail clippers or nail grinders",text,No,0,,,,ap-2-26-6
Constitutive ingredients,1629,"Specifies the main components used in a product's formulation, e.g. beeswax, rosehip oil",text,No,0,,,,hb-3-14-13
Leash design,3233,"Describes the functionality of pet leashes, such as detachable or retractable",text,No,0,,,,ap-2-31-6
Pet medical collar design,3234,"Describes the style of a pet medical collar, such as cone or inflatable",text,No,0,,,,ap-2-32
Medical tape material,2826,"Identifies the composition of medical tape, such as plastic or latex",text,No,0,,,,hb-1-8-6
Pet medical supply type,3235,"Specifies the type of pet medical item, e.g. elastic bandage, gauze bandage",text,No,0,,,,ap-2-33
Features,2989,"Describes additional qualities or characteristics of a product, such as lightweight or foldable",text,No,0,,,,vp-1-7-7
Stroller features,2990,"Identifies specific characteristics of a stroller, such as a foldable design or lockable wheels",text,No,0,,,,bt-6-3-6
Fragrance level,1755,"Specifies the scent intensity of a product, e.g. unscented, lightly scented",text,No,0,,,,hb-3-14-2
Product certifications & standards,1261,"Indicates the certifications or standards a product meets, such as organic or cruelty free",text,No,0,,,,vp-1-6-4-10
SPF level,1713,"Specifies the level of UVB protection offered by a product, e.g. SPF 50",text,No,0,,,,ap-2-40
Skin care features,2991,"Identifies the benefits of skin care items, such as long lasting or UVA/UVB protection",text,No,0,,,,hb-3-2-9-16-2
Pet trainer type,3236,"Identifies the type of pet training aid, such as a standard clicker or automatic treat dispenser",text,No,0,,,,ap-2-41-1
Pet pad features,2972,"Highlights the unique features of pet training pads, like hypoallergenic or easy to clean",text,No,0,,,,ap-2-41-3
Pet spray/solution type,3237,"Identifies the purpose of pet sprays or solutions, like calming or deodorizing",text,No,0,,,,ap-2-41-4
Pet dietary preferences,3238,"Identifies the dietary needs or restrictions of a pet, like grain-free or non-GMO",text,No,0,,,,ap-2-42-10
Disposable bag material,2950,"Specifies the composition of disposable bags, e.g. plastic, biodegradable materials",text,No,0,,,,hg-10-17-1
Waste bag features,2994,"Describes special characteristics of pet waste bags, like biodegradable or leakproof",text,No,0,,,,ap-2-45-1
Reptile/Amphibian food form,3239,"Specifies the form of reptile/amphibian food, for example freeze-dried or pellets",text,No,0,,,,ap-2-46-1
Light color,1,"Defines the color or hue of light, such as white or multicolor",text,No,0,,,,sg-4-2-3
Light pattern,3,"Defines the visual theme of lighting products, for example, geometric or rainbow",text,No,0,,,,sg-4-2-3
Reptile/Amphibian habitat supply type,3240,"Identifies the type of heating or lighting supply for reptile/amphibian habitats, like a heat lamp or UVB lamp",text,No,0,,,,ap-2-46-3
Habitat material,2898,"Identifies the main material of pet habitats, like acrylic or wood",text,No,0,,,,ap-2-46-4-4
Small animal dietary requirements,1700,"Indicates special diet for small animals, like hairball control or kidney care",text,No,0,,,,ap-2-47-2
Small animal food form,3241,"Identifies the form of small animal food, e.g. fresh, hay",text,No,0,,,,ap-2-47-2
Small animal food ingredients,3242,"Identifies the main components in small animal food, like alfalfa or barley",text,No,0,,,,ap-2-47-2
Small animal habitat/cage type,3243,"Identifies the type of habitat or cage for small animals, like a hutch or aquarium",text,No,0,,,,ap-2-47-4
Compatible vehicle,1714,"Specifies the type of vehicle a product is designed for, such as car or SUV",text,No,0,,,,ap-2-48-5
Target gender,837,"Identifies the intended gender for a product, such as female, male or unisex",text,No,0,,,,vp-1-6-7-7
Age group,30,"Defines the target age range for a product, such as adults or kids",text,No,0,,,,sg-4-17-4-2
Clothing features,3001,"Describes unique properties of apparel, such as water resistant or wrinkle resistant",text,No,0,,,,ae-2-2-10-1-15
Size,2778,"Used to specify the size of a product, such as 0-3 months or Extra large (XL)",text,No,0,,,,ma-1-1
Activewear clothing features,2995,"Identifies unique characteristics of activewear, such as four-way stretch or breathable design",text,No,0,,,,aa-1-1-6
Activity,5,"Specifies the sport or activity the product is designed for, such as tennis or pilates",text,No,0,,,,sg-4-11
Fit,35,"Describes the fit of a garment, typically pant shape; e.g. skinny leg, wide",text,No,0,,,,aa-1-19-1
Pants length type,1178,"Used to defines the length of pants, such as cropped or long",text,No,0,,,,aa-1-24-7
Waist rise,37,"Indicates where on the waist a garment sits, like low, medium or high",text,No,0,,,,aa-1-19-1
Neckline,32,"Used to describe the neck shape of a garment, such as V-neck or boat",text,No,0,,,,ae-2-2-10-1-15
Sleeve length type,15,"Specifies the style of sleeves on clothing items, such as short or sleeveless",text,No,0,,,,ae-2-2-10-1-15
Top length type,1193,"Defines the length of tops or shirts, like crop top or long",text,No,0,,,,ae-2-2-10-1-15
Skirt/Dress length type,1190,"Defines the length of skirts or dresses, such as mini or maxi",text,No,0,,,,aa-1-22-2
Bra closure type,1195,"Identifies how bras are fastened or opened, e.g. front, pull-on (no closure)",text,No,0,,,,aa-1-7-1
Bra coverage,1196,"Specifies the level of coverage provided by a bra, such as full or demi",text,No,0,,,,aa-1-7-1
Bra features,2996,"Details the unique features of bras, e.g. removable padding, sweat-wicking fabric",text,No,0,,,,aa-1-7-1
Bra strap type,1191,"Specifies the style and functionality of bra straps, such as racerback",text,No,0,,,,aa-1-7-1
Bra style,3250,"Identifies the design or style of a bra, such as push-up or strapless",text,No,0,,,,aa-1-6-3
Bra support level,1192,"Indicates the level of support provided by a bra, e.g. low, medium, high",text,No,0,,,,aa-1-1-6
Cup size,17,"Specifies bust size of bras, such as AA or L",text,No,0,,,,aa-1-7-1
Baby/Toddler clothing features,2997,"Highlights special features in baby/toddler clothing, like adjustable waistband or UV protection",text,No,0,,,,aa-1-2-11-5
Dress occasion,3244,"Specifies the intended occasion for a dress, e.g. holiday, everyday",text,No,0,,,,aa-1-22-1
Dress style,3245,"Identifies the design of a dress, such as wrap or empire waist",text,No,0,,,,aa-1-22-2
Outerwear clothing features,2998,"Identifies special characteristics of outerwear, like insulated or waterproof",text,No,0,,,,aa-1-10-6
Baby/Toddler sleepwear style,3246,"Describes the design of baby or toddler sleepwear, like footed or onesie",text,No,0,,,,aa-1-2-6
Baby/Toddler hosiery style,3247,"Describes the style of socks or tights for babies or toddlers, like ankle socks or tights",text,No,0,,,,aa-1-2-7
Shoe size,87,"Used to define the size of footwear, e.g. Extra large (XL), 9.5",text,No,0,,,,vp-1-6-7-6
Swimwear features,2999,"Identifies special characteristics of swimwear, like quick drying or UPF sun protection",text,No,0,,,,aa-1-20-24
One-piece style,3248,"Identifies the specific style of a one-piece garment, like a jumpsuit or romper",text,No,0,,,,aa-1-9
Intimate apparel features,3000,"Describes special characteristics of intimate apparel, like breathable design or comfort fit",text,No,0,,,,ma-1-1
Undershirt style,3249,"Describes the design or cut of an undershirt, such as crew neck or V-neck",text,No,0,,,,aa-1-8-2
Absorbency level,894,"Defines absorbency capacity, typically for personal care items; e.g. overnight, light",text,No,0,,,,hb-3-8-4-6
Underwear style,1194,"Defines the design and cut of underwear, such as bikini or control briefs",text,No,0,,,,aa-1-6-11-5
Pantyhose style,3251,"Describes the design or functionality of pantyhose, e.g. footless, maternity",text,No,0,,,,aa-1-6-8-3
Shapewear support level,1197,"Indicates the compression level of shapewear items, e.g. level 1",text,No,0,,,,aa-1-6-10-5
Maternity clothing features,3002,"Describes unique features of maternity wear, e.g. room for belly growth, supportive cups",text,No,0,,,,aa-1-7-8-11
Maternity sleepwear style,3252,"Specifies the style of maternity sleepwear items, like a onesie or sleep shirt",text,No,0,,,,aa-1-7-6
Best uses,41,"Highlights optimal activities for product use, like traveling, hiking, or diving",text,No,0,,,,el-11-6
Skirt style,3253,"Describes the design or cut of a skirt, such as pencil or pleated",text,No,0,,,,aa-1-15
Nightgown style,1198,"Specifies nightgown style, e.g babydoll, chemise",text,No,0,,,,aa-1-17-3
Clothing accessory material,2779,"Identifies the main material used in clothing accessories, like leather or linen",text,No,0,,,,sg-1-7-8
Handwear material,2780,"Describes the type of material used in gloves or mittens, such as faux fur or wool",text,No,0,,,,vp-1-6-7-8
Baby/Toddler hat style,3254,"Describes the style of hats for babies or toddlers, such as bucket hat or sun hat",text,No,0,,,,aa-2-2-3
Jewelry material,2781,"Identifies the main material used in jewelry items, such as gold or enamel",text,No,0,,,,ae-2-1-2-8-7
Jewelry type,60,"Distinguishes between types of jewelry, such as fine or imitation jewelry",text,No,0,,,,aa-6-9
Handwear features,3003,"Describes special features of gloves or mittens, like adjustable closure or enhanced grip",text,No,0,,,,aa-2-13
Handwear type,3255,"Classifies the type of handwear, e.g. fingerless gloves, snow gloves",text,No,0,,,,aa-2-13
Bristle material,1408,"Identifies the composition of brush bristles, such as nylon or horse hair",text,No,0,,,,vp-1-5-2-1
Hair type,1199,"Classifies products based on specific hair types or conditions, such as curly or dry",text,No,0,,,,hb-3-10-13-1
Headwear features,3004,"Highlights unique features of headwear, e.g. collapsible, versatile",text,No,0,,,,ae-2-2-10-1-6
Scarf/Shawl style,3256,"Identifies the style of scarves and shawls, e.g. blanket, wrap",text,No,0,,,,aa-2-26
Eyewear frame color,1,"Identifies the color of the eyewear's frame, such as black or gold",text,No,0,,,,vp-1-6-7-10
Eyewear frame design,3257,"Describes the style of sunglasses, such as aviator or cat-eye",text,No,0,,,,hb-3-19-4
Eyewear frame material,2842,"Specifies the type of material used for eyewear frames, such as bamboo or carbon fiber",text,No,0,,,,vp-1-6-7-10
Eyewear frame pattern,3,"Identifies the pattern on glasses frames, for example, striped or checkered",text,No,0,,,,vp-1-6-7-10
Eyewear lens material,2841,"Specifies the type of material used for eyewear lenses, for instance, high-index plastic or glass",text,No,0,,,,vp-1-6-7-10
Lens color,1,"Specifies the color of eyewear lenses, such as yellow or black",text,No,0,,,,vp-1-6-1-4
Lens pattern,3,"Describes the design or visual appearance on eyewear lenses, such as solid or texture",text,No,0,,,,vp-1-6-1-4
Lens polarization,77,"Indicates the type of lens polarization in eyewear, e.g. photo polarized",text,No,0,,,,aa-2-27
Temple color,1,"Specifies the color of arm or temple on eyewear, such as red or clear",text,No,0,,,,hb-3-19-4
Temple pattern,3,"Describes the design or motif on the temple of eyewear, like logo or checkered",text,No,0,,,,hb-3-19-4
Closure type,80,"Defines the method used to fasten or secure a product, such as zipper or buckles",text,No,0,,,,vp-1-6-7-6
Suspender style,1200,"Defines suspender style, e.g. X-back, Y-back ",text,No,0,,,,aa-2-28
Costume theme,2564,"Identifies the main theme or concept of a costume, such as horror or fantasy",text,No,0,,,,bi-6-1
Carry options,2226,"Specifies the carrying methods available for items, such as a handle or shoulder strap",text,No,0,,,,vp-1-7-6
Wallet features,3005,"Describes special characteristics of wallets, like RFID protection or compact design",text,No,0,,,,el-4-8-4-2-1
Attachment options,844,"Specifies the methods for attaching or securing a product, e.g. lanyard",text,No,0,,,,ae-3-1-1
Bag/Case closure,2958,"Identifies the type of closure used on bags or cases, e.g. key lock, velcro",text,No,0,,,,vp-1-7-6
Bag/Case features,3006,"Describes the unique characteristics of a bag or case, like waterproof or lightweight",text,No,0,,,,vp-1-7-6
Bag/Case material,2784,"Identifies the main material used in a bag or case, such as leather or canvas",text,No,0,,,,vp-1-7-6
Bag/Case storage features,3258,"Identifies unique storage elements in bags or cases, such as adjustable dividers or external pockets",text,No,0,,,,vp-1-7-6
Tote handle type,2223,"Identifies the style of handles on a tote bag, such as short or long",text,No,0,,,,lb-13
Chain link type,98,"Defines the style of chain link for jewelry, such as rope or flat",text,No,0,,,,aa-6-1
Body jewelry type,3259,"Identifies the specific type of body jewelry, e.g. belly piercing, ear cuff",text,No,0,,,,aa-6-2
Bracelet design,3260,"Specifies the design of a bracelet, such as charm or cuff",text,No,0,,,,aa-6-3
Necklace design,3262,"Describes the style of a necklace, such as pendant or choker",text,No,0,,,,aa-6-8
Earring design,3261,"Describes the style or structure of earrings, such as hoop or stud",text,No,0,,,,aa-6-6
Ring size,105,"Specifies the size of a ring, such as L or 6.5",text,No,0,,,,aa-6-9
Ring design,3263,"Describes the style of a ring, such as band or solitaire",text,No,0,,,,aa-6-9
Band color,1,"Specifies the color of a watch band, e.g. multicolor, rose gold",text,No,0,,,,aa-6-11
Band pattern,3,"Indicates the visual theme on the band of items like watches, e.g. striped, logo",text,No,0,,,,aa-6-11
Case color,1,"Specifies the color of a product's case, such as clear or white",text,No,0,,,,hb-1-8-4
Case pattern,3,"Describes the design or motif on a product's case, such as floral or geometric",text,No,0,,,,hb-1-8-4
Dial color,1,"Specifies the color of a watch's dial or face, such as gold or multicolor",text,No,0,,,,aa-6-11
Dial pattern,3,"Describes the design or motif on a watch's dial, such as dots or tie-dye",text,No,0,,,,aa-6-11
Smart watch features,3007,"Describes the capabilities of a smart watch, such as fitness tracker or waterproof",text,No,0,,,,aa-6-12
Watch display,1201,"Distinguishes between watch displays, such as digital or analog",text,No,0,,,,aa-6-11
Watch features,3008,"Identifies special characteristics of a watch, such as automatic movement or luminous hands",text,No,0,,,,aa-6-11
Watch material,2951,"Specifies the type of material used for the watch, such as titanium or silicone",text,No,0,,,,aa-6-11
Watch accessory style,1202,"Defines the style of watch accessories, e.g. sporty, modern",text,No,0,,,,aa-6-10-1
Band material,2951,"Specifies the material used in the watch band, such as leather or stainless steel",text,No,0,,,,aa-6-10-1
Clasp type,108,"Specifies the clasp type for accessories, such as buckle or butterfly",text,No,0,,,,el-4-8-4-3-2
Heel height type,128,"Defines the height of a shoe's heel, such as flat or high",text,No,0,,,,vp-1-6-7-6
Occasion style,1203,"Helps categorize products based on occasion, e.g. casual, dress",text,No,0,,,,aa-8-8
Shoe features,3009,"Identifies special characteristics of shoes, such as waterproof or lightweight",text,No,0,,,,vp-1-6-7-6
Shoe fit,846,"Defines the width of footwear, such as narrow or wide",text,No,0,,,,vp-1-6-7-6
Toe style,847,"Defines the shape or design of a shoe's toe, such as open or pointed",text,No,0,,,,sg-4-14-1-4
Boot style,1204,"Specifies the style of boots, e.g. booties",text,No,0,,,,aa-8-3
Sandal style,3264,"Specifies the style of sandals, such as ankle strap or lace-up",text,No,0,,,,aa-8-6
First steps/crawlers style,3265,"Specifies the type of footwear for babies learning to walk or crawl, e.g. pre-walkers, soft sole shoes",text,No,0,,,,aa-8-2-6
Flat shoe style,3266,"Identifies the specific design of flat shoes, such as ballet or espadrilles",text,No,0,,,,aa-8-9
Heel shoe type,3267,"Identifies the style of heel on a shoe, such as platform heels or wedge heels",text,No,0,,,,aa-8-10
Slipper style,3268,"Identifies the style of slippers, such as ballerina or flip-flop",text,No,0,,,,aa-8-7
Sneaker style,3269,"Identifies the design or type of sneakers, such as athletic or high-top",text,No,0,,,,aa-8-8
Age restrictions,2274,"Indicates the minimum age requirement for a product or event, like 18 years or older",text,No,0,,,,ae-1
Event type,2275,"Classifies the nature of an event, such as a concert, seminar, or festival",text,No,0,,,,ae-1
Ticket additional features,3010,"Highlights extra benefits offered with tickets, such as meet & greet or post-event activities",text,No,0,,,,ae-1
Ticket type,2276,"Identifies the category of event tickets, like general admission or reserved seating",text,No,0,,,,ae-1
Candle kit items included,2277,"Specifies the items provided in a candle kit, such as candle wicks or wax melting pot",text,No,0,,,,ae-2-1-1-1
Candle type,2278,"Specifies the design of candles, such as taper or tea light",text,No,0,,,,hg-3-40-2
Wax type,2279,"Specifies the type of wax in items like candles, such as soy or paraffin",text,No,0,,,,ae-2-1-1-1
Drawing/Painting kit items included,2280,"Identifies items in an art or craft kit, e.g. coloring pad, paint cup",text,No,0,,,,ae-2-1-1-2
Suitable for fabric type,2281,"Identifies the type of fabric a product is suitable for, such as synthetic or natural fabric",text,No,0,,,,ae-2-1-1-3
Incense fragrance,2282,"Identifies the scent of an incense product, such as lavender or sandalwood",text,No,0,,,,ae-2-1-1-4
Incense kit items included,3270,"Identifies the elements contained in an incense making kit, e.g. bamboo sticks, molds",text,No,0,,,,ae-2-1-1-4
Incense type,2283,"Identifies the form of incense, such as cone or stick",text,No,0,,,,ae-2-1-1-4
Jewelry set type,2285,"Identifies the type of jewelry in a jewelry making kit, such as ring or necklace",text,No,0,,,,ae-2-1-1-5
Needlecraft kit type,3271,"Identifies the type of needlecraft kit, such as crochet or cross stitch",text,No,0,,,,ae-2-1-1-7
Perfumery instruments included,3419,"Specifies the instruments provided in a perfume making kit, such as scent strips or pipettes",text,No,0,,,,ae-2-1-1-10
Album type,2287,"Describes the binding style of scrapbooking or stamping kits, e.g. spiral bound, scrapbook",text,No,0,,,,ae-2-1-1-8
Embellishments,2288,"Identifies added decorative elements on a product, like sequins or buttons",text,No,0,,,,ae-2-1-1-8
Scrapbook paper type,2289,"Identifies the style or design of scrapbook paper, such as specialty or patterned",text,No,0,,,,ae-2-1-1-8
Paper finish,2290,"Describes the texture or sheen of paper products, such as satin or matte",text,No,0,,,,bi-1-1
Paper size,2234,"Specifies the dimensions of a paper product, such as A4 or letter",text,No,0,,,,os-13-9
Paper format,2291,"Identifies the type of paper format for arts and crafts, like block or loose sheets",text,No,0,,,,ae-2-1-2-1-4
Paper texture,2292,"Describes the feel and finish of art paper, such as smooth or rough",text,No,0,,,,ae-2-1-2-1-4
Creative art project type,2293,"Identifies the type of creative art project, such as drawing or scrapbooking",text,No,0,,,,ae-2-1-2-1-6
Transfer paper technique,3272,"Identifies the method used with transfer paper, such as inkjet or iron-on",text,No,0,,,,ae-2-1-2-1-6
Suitable for art technique,2294,"Specifies the art methods a paper product is suitable for, such as watercolor painting",text,No,0,,,,ae-2-1-2-1-7
Button/Snap closure type,2295,"Describes the style of fastening mechanism, such as magnetic or invisible",text,No,0,,,,ae-2-1-2-2-1-2
Fastener material,2926,"Specifies the type of material used in fasteners, e.g. brass, stainless steel",text,No,0,,,,ae-2-1-7
Zipper pull style,2296,"Describes the design or finish on a zipper pull, such as textured or embossed",text,No,0,,,,ae-2-1-2-2-5
Dispenser type,1384,"Specifies the format for dispensing the product, typically in health and beauty; e.g. stick, jar",text,No,0,,,,hg-10-9-1
Paint form,2952,"Identifies the form of craft paint, for instance, gel or powder",text,No,0,,,,ae-2-1-2-3-1
Paint type,2298,"Specifies the variety of paint in arts & crafts items, like enamel or watercolor",text,No,0,,,,ae-2-1-2-3-1
Art fixative application method,2299,"Describes how an art fixative is applied, such as aerosol or brush-on",text,No,0,,,,ae-2-1-2-3-2
Finish,2062,"Describes the surface quality of a product, like satin or matte",text,No,0,,,,os-4-5-3
Suitable for crafting material,2300,"Specifies the crafting materials compatible with a product, such as metal or glass",text,No,0,,,,ae-2-1-4-6-7
Ink form,2301,"Describes the packaging or delivery method of art ink, like pen or bottle",text,No,0,,,,ae-2-1-2-3-3-7
Glaze finish,2302,"Indicates the texture and sheen of a ceramic or pottery glaze, like satin or crackle",text,No,0,,,,ae-2-1-2-3-4
Visual effect,2303,"Defines the visual characteristics of a product, typically for art glazes; e.g. speckled, textured",text,No,0,,,,ae-2-1-2-3-4
Dye form,2952,"Describes the physical state of craft dyes, such as gel or powder",text,No,0,,,,ae-2-1-2-3-5
Ink type,2305,"Identifies the kind of ink used in a product, such as solvent-based or dye",text,No,0,,,,ae-2-1-2-3-6
Paint medium type,2306,"Specifies the kind of paint medium in craft items, such as varnish or watercolor",text,No,0,,,,ae-2-1-2-3-7
Foam form,2307,"Identifies the shape or type of craft foam product, like balls or sheets",text,No,0,,,,ae-2-1-2-4-1
Thickness type,2219,"Indicates the level of thickness for items, such as thin, medium, or thick",text,No,0,,,,os-12-6
Lumber/Wood type,2914,"Identifies the specific type of wood or lumber used in a product, like oak or pine",text,No,0,,,,ha-2-10-3
Papier mache shape,2308,"Specifies the design of papier mache products, like box or figurine",text,No,0,,,,ae-2-1-2-4-3
Wreath design,2309,"Identifies the primary material or shape of a wreath, such as metal or hoop",text,No,0,,,,ae-2-1-2-4-4
Fiber art project type,2310,"Categorizes the fiber art craft, such as embroidery or macrame",text,No,0,,,,ae-2-1-2-5-1-7
Magnet type,1350,"Identifies the type of magnet used in a product, e.g. ceramic, titanium",text,No,0,,,,hg-3-72
